effect_id,item_name,tier,slot_scope,clarity,trigger,effect_summary,mechanical_notes,boss_counter,build_roles
ashes_starfall,Ashes of the Stars,T0,focus|charm,explicit,onBossStart,"Secondary keywords on all equipped cards gain +1 potency. At boss start, gain Prophecy for 6s.",Primary enabler for hybrid/support builds.,Sirus,focus|support|hybrid
badge_escalation,Badge of the Brotherhood,T0,charm,explicit,onBuffGain,Each new buff type this wave grants +2 SPD and +1 PWR (max 5).,Snowballs on layered buff builds.,Kitava,tempo|support
omniscience_harmonic,Crystallised Omniscience,T0,charm,explicit,onCombatStart,"Gain bonus ATK/DEF/SPD/PWR equal to 25% of your highest non-HP derived stat, distributed to the other three.",Stat-balancing amulet; smooths awkward drafts.,Malachai,hybrid|support
presence_void_ward,Presence of Chayula,T0,charm,explicit,onWaveStart,Start each wave with Plating 12. First fatal hit each run leaves you at 1 HP and grants Regen 5 for 6s.,Safety anchor for slow/control builds.,Sirus,bastion|sustain
solstice_stasis,Solstice Vigil,T0,charm,explicit,passive,Enemy special skills charge 20% slower. Foresight reveals specials 2s earlier.,Anti-boss timing tech.,Sirus,control|insight
pandemonius_whiteout,The Pandemonius,T0,charm,explicit,onFirstHitPerTarget,First hit on each enemy applies Whiteout: Vulnerable 2 and -20% SPD for 4s.,Opener tool for execution builds.,Kitava,control|burst
headhunter_trophy,Headhunter,T0,charm,explicit,onEliteKill|onBossThreshold,"On elite kill, steal its highest stat bonus until end of run. Boss thresholds at 70/40/10% HP grant +2 all non-HP stats.",Wave snowball and boss scaling.,Kitava,wildcard|assault
mageblood_autotonic,Mageblood,T0,charm,explicit,passive|tactical,Tactical item becomes passive at 35% power if it is a buff or map. Burst tacticals auto-trigger at wave start and boss start.,Consistency engine for tactical-centric builds.,All,support|tactical
retch_glut,The Retch,T0,charm,explicit,onOverheal,50% of overheal from Lifesteal/Regen is dealt as corruption damage to current target.,Turns sustain into offense.,Malachai,sustain|venom
kaom_heart_overmax,Kaom's Heart,T0,body,explicit,passive,"+35 max HP. Overhealing converts to Strength (1 per 10 overheal, max 8 per wave).",Body anchor for sustain/assault.,Kitava,sustain|assault
shavronne_lastveil,Shavronne's Wrappings,T0,body,explicit,onFatalHit,"First time each wave you would take fatal damage, prevent it and gain Veil: self-Burn deals 50% less for 6s.",Anti-spike tech with ritual flavor.,Sirus,control|sustain
brass_dome_unbroken,The Brass Dome,T0,body,explicit,onWaveStart,Start each wave with Plating 10. Enemy specials cannot deal more than 25% of your max HP.,Best anti-boss armor.,Sirus,bastion
covenant_bloodprice,The Covenant,T0,body,explicit,onWaveStart,"At wave start, lose 10% max HP; attacks gain Burn equal to lost HP / 10 for the wave.",High-risk burn engine.,Malachai,ember|sustain
atziri_step_phase,Atziri's Step,T0,minor,explicit,onWaveStart|onDodge,First incoming hit each wave is always dodged. Successful dodge grants +1 PWR.,Tempo boot anchor.,Sirus,tempo|hunter
yami_high_decree,Yami,T0,mainhand,explicit,onNthHit,"Every 4th direct hit is an Execution hit for +60% damage. If target is below 35% HP, repeat it at 50% power.",Custom finisher axe.,Kitava,burst|assault
alk_rally,AlkLFG,T0,focus,explicit,onFatalHit,"Once per run on reaching 0 HP, set HP to 25%, gain +10 SPD and +5 Strength for 8s.",Comeback relic.,All,wildcard|sustain
huit_morts_surge,8 morts 6 blessés,T0,focus,explicit,onFirstKillPerWave,First kill each wave detonates remaining enemies for Burn 3 and Poison 3.,Wave clear relic.,Kitava,ember|venom
montoya_charge,Montoya,T0,focus,explicit,onWaveStart|onAction,"Gain Charge at wave start. Every 3 actions, consume Charge to strike all enemies for 60% ATK; kills refresh Charge.",Aggro relic for fast builds.,Kitava,tempo|assault
herald_dispute,NoBitches Herald,T0,focus,implied,onDebuffTaken,"When an enemy debuffs you, reflect 1 stack of its last non-unique debuff and gain Block 4.",Counter-debuff mask; exact reflected stack order discovered in logs.,Malachai,control|bastion
ursarion_benediction,Ursarion,T0,focus,implied,onBuffGain,Every third buff gained refreshes all your buff durations and grants Plating 2.,Buff extension engine.,Sirus,support|bastion
brutal_restraint_momentum,Brutal Restraint,T0,focus,explicit,onActFirst,"Whenever you act before the current target, gain Strength 1 (max 8 per wave).",Tempo-to-damage conversion.,Kitava,tempo|assault
glorious_vanity_corrupt,Glorious Vanity,T0,focus,hidden,onDebuffTaken,Every third harmful effect applied to you also applies Corruption to the enemy: Burn 2 + Poison 2.,Corruption counterplay; hidden proc cadence unlocks in codex after 3 triggers.,Malachai,void|venom
