uid,id,name,item_class,normalized_class,tier,allowed_slots,profile_id,motif,atk,def,hp,spd,pwr,primary_keyword,secondary_keyword,effect_tier,archetype_tags,is_marquee,override_effect_id,wiki_url,relevance_score
1,the_pandemonius,The Pandemonius,Amulet,amulet,T0,charm,support_charm,frost,5,4,4,3,10,Foresight,Regen,legendary,support|sustain|control,1,pandemonius_whiteout,https://www.poewiki.net/wiki/The_Pandemonius,1060
2,the_retch,The Retch,Belt,belt,T0,charm,sustain_charm,blood,1,9,14,0,4,Strength,Regen,legendary,sustain|bastion,1,retch_glut,https://www.poewiki.net/wiki/The_Retch,1060
3,the_brass_dome,The Brass Dome,Body Armour,body,T0,body,bastion_shell,bastion,0,23,17,0,3,Plating,Regen,legendary,bastion|sustain,1,brass_dome_unbroken,https://www.poewiki.net/wiki/The_Brass_Dome,1052
4,the_covenant,The Covenant,Body Armour,body,T0,body,bastion_shell,frost,0,23,17,0,3,Plating,Regen,legendary,bastion|sustain|control,1,covenant_bloodprice,https://www.poewiki.net/wiki/The_Covenant,1052
5,mark_of_the_shaper,Mark of the Shaper,Ring,ring,T0,charm,volatile_charm,void,8,1,0,4,9,Poison,Burn,legendary,wildcard|support|arcane,1,mark_shaper_union,https://www.poewiki.net/wiki/Mark_of_the_Shaper,1045
6,presence_of_chayula,Presence of Chayula,Amulet,amulet,T0,charm,support_charm,insight,5,4,4,3,10,Foresight,Regen,legendary,support|sustain|focus,1,presence_void_ward,https://www.poewiki.net/wiki/Presence_of_Chayula,1045
7,mark_of_the_elder,Mark of the Elder,Ring,ring,T0,charm,volatile_charm,void,8,1,0,4,9,Poison,Burn,legendary,wildcard|support|arcane,1,mark_elder_lone,https://www.poewiki.net/wiki/Mark_of_the_Elder,1045
8,the_squire,The Squire,Shield,shield,T0,offhand,bastion_guard,neutral,0,22,9,0,6,Block,Plating,legendary,bastion|control|support,1,squire_echo,https://www.poewiki.net/wiki/The_Squire,1040
9,kaoms_heart,Kaom's Heart,Body Armour,body,T0,body,bastion_shell,blood,0,23,17,0,3,Regen,Plating,legendary,bastion|sustain,1,kaom_heart_overmax,https://www.poewiki.net/wiki/Kaom%27s_Heart,1037
10,atziris_step,Atziri's Step,Boots,boots,T0,minor,tempo_stride,tempo,0,5,3,21,3,Dodge,Foresight,legendary,tempo|hunter,1,atziri_step_phase,https://www.poewiki.net/wiki/Atziri%27s_Step,1035
11,crystallised_omniscience,Crystallised Omniscience,Amulet,amulet,T0,charm,support_charm,frost,5,4,4,3,10,Foresight,Regen,legendary,support|sustain|control,1,omniscience_harmonic,https://www.poewiki.net/wiki/Crystallised_Omniscience,1032
12,bereks_respite,Berek's Respite,Ring,ring,T0,charm,volatile_charm,ember,8,1,0,4,9,Burn,Poison,legendary,wildcard|support|ember,1,berek_respite_chain,https://www.poewiki.net/wiki/Berek%27s_Respite,1032
13,solstice_vigil,Solstice Vigil,Amulet,amulet,T0,charm,support_charm,storm,5,4,4,3,10,Foresight,Regen,legendary,support|sustain|tempo,1,solstice_stasis,https://www.poewiki.net/wiki/Solstice_Vigil,1032
14,headhunter,Headhunter,Belt,belt,T0,charm,sustain_charm,blood,1,9,14,0,4,Strength,Regen,legendary,sustain|bastion,1,headhunter_trophy,https://www.poewiki.net/wiki/Headhunter,1030
15,watchers_eye,Watcher's Eye,Jewel,jewel,T0,focus,focus_engine,insight,0,0,0,0,23,Foresight,Burn,legendary,focus|support,1,watchers_eye_prophecy,https://www.poewiki.net/wiki/Watcher%27s_Eye,1030
16,badge_of_the_brotherhood,Badge of the Brotherhood,Amulet,amulet,T0,charm,support_charm,neutral,5,4,4,3,10,Regen,Lifesteal,legendary,support|sustain,1,badge_escalation,https://www.poewiki.net/wiki/Badge_of_the_Brotherhood,1030
17,ashes_of_the_stars,Ashes of the Stars,Amulet,amulet,T0,charm,support_charm,ember,5,4,4,3,10,Regen,Lifesteal,legendary,support|sustain|ember,1,ashes_starfall,https://www.poewiki.net/wiki/Ashes_of_the_Stars,1030
18,impossible_escape,Impossible Escape,Jewel,jewel,T0,focus,focus_engine,neutral,0,0,0,0,23,Foresight,Burn,legendary,focus|support,1,impossible_escape_reposition,https://www.poewiki.net/wiki/Impossible_Escape,1030
19,ventors_gamble,Ventor's Gamble,Ring,ring,T0,charm,volatile_charm,beast,8,1,0,4,9,Strength,Poison,legendary,wildcard|support|assault,1,ventor_gamble_variance,https://www.poewiki.net/wiki/Ventor%27s_Gamble,1030
20,glorious_vanity,Glorious Vanity,Jewel,jewel,T0,focus,focus_engine,void,0,0,0,0,23,Poison,Foresight,legendary,focus|support|arcane,1,glorious_vanity_corrupt,https://www.poewiki.net/wiki/Glorious_Vanity,1028
